assessment_name,url,description,job_levels,assessment_length,test_type
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 20,K
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,K
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,K
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.","Graduate,",Approximate Completion Time in minutes = 7 minutes,K
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,K
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,"General Population,",Approximate Completion Time in minutes = 16,P
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 6,K
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 7,K
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 11,K
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,K
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 7,K
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,K
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 5,K
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 5,K
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 6,K
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 6,K
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,K
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,K
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 30,K
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.

We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.

Exercises are available across a wide range of job levels and industry contexts.

Contact SHL to find out more.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = Variable,E
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional,",Approximate Completion Time in minutes = max 20,S
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = max 30,S
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = max 45,S
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 16,K
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 24,K
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",,Approximate Completion Time in minutes = 35,K
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,K
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,K
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,K
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 4,K
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 12,K
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,K
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,K
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 10,K
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,K
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,K
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 12,K
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,"Entry-Level,",Approximate Completion Time in minutes = 15,S
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",,Approximate Completion Time in minutes = 11,S
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,K
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,K
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,"Entry-Level,",Approximate Completion Time in minutes = 5,"K
S"
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,K
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 7,K
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,",Approximate Completion Time in minutes = 20,"B
S"
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,",Approximate Completion Time in minutes = 30,"B
P
S"
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 9,K
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,K
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 11,K
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 17,K
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,DSI v1.1 Interpretation Report,,,P
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 11,K
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,K
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 14,K
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,K
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 15,K
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 18,K
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 7,K
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.","Entry-Level,",Approximate Completion Time in minutes = 0,K
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,"Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 4,K
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .","Director, Executive, Manager, Mid-Professional,",,P
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .","Director, Executive, Manager, Mid-Professional,",,P
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,"The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds.
Report Language Availability: English (USA)","Entry-Level,",Approximate Completion Time in minutes = 19,"C
P"
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,"The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
Report Language Availability: English (USA)","Entry-Level,",Approximate Completion Time in minutes = 19,"P
C"
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,"The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with customers when carrying out critical tasks of the job. This includes positions that require frequent interactions with customers, or positions where customer service is not central to the role, but is still essential for successful performance on the job. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone to provide information; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
Report Language Availability: English (USA)","Entry-Level,",Approximate Completion Time in minutes = 14,"C
P"
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,"The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, and accepting payment.
Report Language Availability: English (USA)","Entry-Level,",Approximate Completion Time in minutes = 20,"C
P"
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,"The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.
Report Language Availability: English (USA)","Entry-Level,",Approximate Completion Time in minutes = 20,"C
P"
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,"The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and
operating systems.
Report Language Availability: English (USA)","Entry-Level,",Approximate Completion Time in minutes = 18,"P
C"
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,"Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,K
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Director, Executive, Manager,",Approximate Completion Time in minutes = Untimed,B
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Director, Executive, Manager,",,B
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Director, Executive, Manager,",,B
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 7,K
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.,"Entry-Level,",Approximate Completion Time in minutes = 3,K
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.","Entry-Level,",Approximate Completion Time in minutes = 3,K
